lodcolumn,gene_id,gene_symbol,gene_chr,gene_start,gene_middle,gene_end,qtl_chr,qtl_pos,qtl_mkr,qtl_lod,cis,,,,,,,,
ENSMUSP00000022416,ENSMUSG00000021866,Anxa11,14,25.842156,25.86448,25.886804,14,30.065799,UNC23778095,15.68507265,FALSE,,,,,,,,
ENSMUSP00000061498,ENSMUSG00000040472,Rabggta,14,55.715873,55.719065,55.722257,14,54.24511,UNC24026686,15.02408711,TRUE,,,,,,,,
ENSMUSP00000022343,ENSMUSG00000021809,Nudt13,14,20.29469,20.306132,20.317575,14,20.216772,UNC23661740,14.4889739,TRUE,,,,,,,,
ENSMUSP00000125697,ENSMUSG00000043004,Gng2,14,19.872559,19.925093,19.977627,14,8.943653,JAX00049884,14.28483157,FALSE,,,,,,,,
ENSMUSP00000022391,ENSMUSG00000021843,Ktn1,14,47.663756,47.70016,47.736563,14,46.985339,UNC23956269,14.00364917,TRUE,,,,,,,,
ENSMUSP00000119275,ENSMUSG00000050335,Lgals3,14,47.367751,47.376956,47.38616,14,48.073176,UNC23969355,13.79342248,TRUE,,,,,,,,
ENSMUSP00000139261,ENSMUSG00000098557,KCTD12,14,102.976581,102.979609,102.982637,14,99.847125,UNC24601300,12.59732767,TRUE,,,,,,,,
ENSMUSP00000026625,ENSMUSG00000025545,Clybl,14,122.181694,122.291963,122.402232,14,121.991056,backupUNC140589529,12.21505721,TRUE,,,,,,,,
ENSMUSP00000039537,ENSMUSG00000033405,Nudt15,14,73.519864,73.534053,73.548242,13,64.485428,backuprs49428768,12.16690294,FALSE,,,,,,,,
ENSMUSP00000022639,ENSMUSG00000022055,Nefl,14,68.083863,68.086479,68.089095,14,72.932137,UNC24231828,12.13934803,FALSE,,,,,,,,
ENSMUSP00000124258,ENSMUSG00000054509,Parp4,14,56.575619,56.617706,56.659794,3,17.886724,UNC4791745,11.76792115,FALSE,,,,,,,,
ENSMUSP00000022734,ENSMUSG00000022136,Dnajc3,14,118.937932,118.959817,118.981702,14,119.130662,UNC24875157,11.52004617,TRUE,,,,,,,,
ENSMUSP00000022369,ENSMUSG00000021823,Vcl,14,20.929433,20.981553,21.033673,14,20.680822,UNC23666580,11.45905469,TRUE,,,,,,,,
ENSMUSP00000123765,ENSMUSG00000022110,Sucla2,14,73.525319,73.56073,73.596142,7,12.890503,UNC070010113,11.44368764,FALSE,,,,,,,,
ENSMUSP00000080538,ENSMUSG00000040752,Myh6,14,54.941921,54.954424,54.966927,3,146.91166,UNC6483368,11.44200434,FALSE,,,,,,,,
ENSMUSP00000039537,ENSMUSG00000033405,Nudt15,14,73.519864,73.534053,73.548242,14,73.564988,UNC24241974,11.44059514,TRUE,,,,,,,,
ENSMUSP00000042186,ENSMUSG00000032849,Abcc4,14,118.482692,118.594456,118.706219,15,27.376717,UNC25245541,11.41187939,FALSE,,,,,,,,
ENSMUSP00000022538,ENSMUSG00000021967,Mrp63,14,57.826239,57.827492,57.828745,9,120.315668,UNC17261955,11.24094348,FALSE,,,,,,,,
ENSMUSP00000038555,ENSMUSG00000040618,Pck2,14,55.540266,55.545142,55.550017,14,54.333417,backupUNC140210413,11.19318255,TRUE,,,,,,,,
ENSMUSP00000093741,ENSMUSG00000071540,3425401B19Rik,14,32.659119,32.672196,32.685272,7,119.590408,UNC13728274,11.04607523,FALSE,,,,,,,,
ENSMUSP00000022553,ENSMUSG00000021981,Cab39l,14,59.440981,59.494942,59.548903,14,59.770024,JAX00381203,10.95420969,TRUE,,,,,,,,
ENSMUSP00000047665,ENSMUSG00000039197,Adk,14,21.052574,21.250571,21.448568,14,21.518738,UNC23676668,10.89606822,TRUE,,,,,,,,
ENSMUSP00000048925,ENSMUSG00000058997,Vwa8,14,78.849178,79.025744,79.20231,17,60.590118,UNC28131597,10.83064363,FALSE,,,,,,,,
ENSMUSP00000046199,ENSMUSG00000042286,Stab1,14,31.139013,31.153827,31.168641,15,10.819407,UNC25027637,10.82112506,FALSE,,,,,,,,
ENSMUSP00000022480,ENSMUSG00000021913,Ogdhl,14,32.322019,32.33492,32.34782,1,70.463622,UNC890096,10.75544032,FALSE,,,,,,,,
ENSMUSP00000098398,ENSMUSG00000021820,Camk2g,14,20.734875,20.764482,20.794088,14,27.944631,JAX00375849,10.71575184,FALSE,,,,,,,,
ENSMUSP00000120918,ENSMUSG00000037712,Fermt2,14,45.458792,45.494455,45.530118,14,41.007133,JAX00378659,10.60689857,FALSE,,,,,,,,
ENSMUSP00000022614,ENSMUSG00000022035,Ccdc25,14,65.837302,65.851953,65.866604,11,61.381,UNC19751789,10.55947571,FALSE,,,,,,,,
ENSMUSP00000087773,ENSMUSG00000040640,Erc2,14,27.622442,28.05049,28.478537,9,117.903725,JAX00707161,10.54389759,FALSE,,,,,,,,
ENSMUSP00000042875,ENSMUSG00000040760,Appl1,14,26.918988,26.94511,26.971232,15,68.461862,UNC25805470,10.53428382,FALSE,,,,,,,,
ENSMUSP00000025940,ENSMUSG00000071347,C1qtnf9,14,60.768134,60.774502,60.780869,14,20.470525,UNC23665083,10.52213866,FALSE,,,,,,,,
ENSMUSP00000115615,ENSMUSG00000040752,Myh6,14,54.941921,54.954424,54.966927,3,147.295992,UNC6488545,10.47832237,FALSE,,,,,,,,
ENSMUSP00000052020,ENSMUSG00000025278,Flnb,14,7.817957,7.884772,7.951588,14,19.755208,UNC23655457,10.42688229,FALSE,,,,,,,,
ENSMUSP00000098398,ENSMUSG00000021820,Camk2g,14,20.734875,20.764482,20.794088,11,109.872236,UNC20365385,10.40686233,FALSE,,,,,,,,
ENSMUSP00000050634,ENSMUSG00000058351,Smim4,14,31.088869,31.1089,31.12893,8,92.730817,UNC15258797,10.39820742,FALSE,,,,,,,,
ENSMUSP00000022451,ENSMUSG00000021893,Capn7,14,31.336638,31.354312,31.371986,14,28.966409,JAX00204555,10.36045514,TRUE,,,,,,,,
ENSMUSP00000125697,ENSMUSG00000043004,Gng2,14,19.872559,19.925093,19.977627,7,6.760433,UNC12400995,10.31841987,FALSE,,,,,,,,
ENSMUSP00000080538,ENSMUSG00000040752,Myh6,14,54.941921,54.954424,54.966927,13,102.946982,UNC23248826,10.28112288,FALSE,,,,,,,,
ENSMUSP00000125977,ENSMUSG00000025290,Rps24,14,24.490681,24.493414,24.496146,13,102.886751,UNC23247705,10.23889262,FALSE,,,,,,,,
ENSMUSP00000124258,ENSMUSG00000054509,Parp4,14,56.575619,56.617706,56.659794,14,56.863136,backupUNC141394134,10.22334135,TRUE,,,,,,,,
ENSMUSP00000022834,ENSMUSG00000022225,Cma1,14,55.941453,55.943057,55.944661,5,64.576407,UNC9341523,10.19419178,FALSE,,,,,,,,
ENSMUSP00000022734,ENSMUSG00000022136,Dnajc3,14,118.937932,118.959817,118.981702,19,45.594141,UNC30385087,10.17175296,FALSE,,,,,,,,
ENSMUSP00000052020,ENSMUSG00000025278,Flnb,14,7.817957,7.884772,7.951588,2,19.56942,UNC2677224,10.16909493,FALSE,,,,,,,,
ENSMUSP00000022293,ENSMUSG00000021771,Vdac2,14,21.831269,21.838574,21.845879,13,101.019401,UNC23224121,10.13470418,FALSE,,,,,,,,
ENSMUSP00000048765,ENSMUSG00000037780,Mbl1,14,41.151456,41.155208,41.158959,3,53.003701,UNC5273993,10.12999969,FALSE,,,,,,,,
ENSMUSP00000115615,ENSMUSG00000040752,Myh6,14,54.941921,54.954424,54.966927,13,101.115598,UNC23225449,10.12032087,FALSE,,,,,,,,
ENSMUSP00000022597,ENSMUSG00000022020,Naa16,14,79.334204,79.362491,79.390778,X,86.855368,UNC31056619,10.06959549,FALSE,,,,,,,,
ENSMUSP00000097872,ENSMUSG00000025558,Dock9,14,121.542039,121.669886,121.797734,15,60.812923,UNC25706608,10.0628302,FALSE,,,,,,,,
ENSMUSP00000038763,ENSMUSG00000041650,Pcca,14,122.534324,122.712712,122.8911,9,99.24289,backupUNC091131186,10.03698577,FALSE,,,,,,,,
ENSMUSP00000093741,ENSMUSG00000071540,3425401B19Rik,14,32.659119,32.672196,32.685272,1,126.453576,UNC1621986,10.03351891,FALSE,,,,,,,,
ENSMUSP00000022597,ENSMUSG00000022020,Naa16,14,79.334204,79.362491,79.390778,15,15.895947,backupUNC150016326,10.00200845,FALSE,,,,,,,,
ENSMUSP00000125434,ENSMUSG00000061244,Exoc5,14,49.012146,49.0394,49.066653,4,14.362975,UNC6773152,9.842586244,FALSE,,,,,,,,
ENSMUSP00000053176,ENSMUSG00000039376,Synpo2l,14,20.658946,20.66365,20.668354,10,23.439188,JAX00285085,9.835368951,FALSE,,,,,,,,
ENSMUSP00000125434,ENSMUSG00000061244,Exoc5,14,49.012146,49.0394,49.066653,15,12.927556,UNC25059989,9.813633946,FALSE,,,,,,,,
ENSMUSP00000022256,ENSMUSG00000021737,Psmd6,14,14.112184,14.116584,14.120984,5,77.814509,UNC9519727,9.805130917,FALSE,,,,,,,,
ENSMUSP00000123765,ENSMUSG00000022110,Sucla2,14,73.525319,73.56073,73.596142,17,64.835955,UNC28188752,9.765175671,FALSE,,,,,,,,
ENSMUSP00000115615,ENSMUSG00000040752,Myh6,14,54.941921,54.954424,54.966927,11,116.407665,UNC20473647,9.7631302,FALSE,,,,,,,,
ENSMUSP00000098398,ENSMUSG00000021820,Camk2g,14,20.734875,20.764482,20.794088,10,117.5928,UNC18808920,9.756155994,FALSE,,,,,,,,
ENSMUSP00000022317,ENSMUSG00000021792,Fam213a,14,40.99374,41.003764,41.013788,14,37.102185,UNC23871011,9.742460241,TRUE,,,,,,,,
ENSMUSP00000022682,ENSMUSG00000022091,Sorbs3,14,70.180468,70.194052,70.207637,14,23.718555,UNC23702367,9.73777527,FALSE,,,,,,,,
ENSMUSP00000022268,ENSMUSG00000021748,Pdhb,14,8.165991,8.169492,8.172992,18,49.830778,UNC29231553,9.711852208,FALSE,,,,,,,,
ENSMUSP00000131991,ENSMUSG00000091898,Tnnc1,14,31.208312,31.21002,31.211729,X,11.262996,UNC30648386,9.693652861,FALSE,,,,,,,,
ENSMUSP00000036924,ENSMUSG00000033712,Ccar2,14,70.138177,70.145994,70.153811,2,128.214239,UNC3939272,9.684504696,FALSE,,,,,,,,
ENSMUSP00000079163,ENSMUSG00000012405,Rpl15,14,18.267823,18.269607,18.271391,18,60.362349,JAX00461050,9.661648575,FALSE,,,,,,,,
ENSMUSP00000017629,ENSMUSG00000017485,Top2b,14,16.365179,16.397983,16.430787,5,125.433546,UNC10090183,9.659631894,FALSE,,,,,,,,
ENSMUSP00000042602,ENSMUSG00000035960,Apex1,14,50.924968,50.926054,50.927139,5,128.150431,UNC10134180,9.637241502,FALSE,,,,,,,,
ENSMUSP00000129504,ENSMUSG00000022100,Xpo7,14,70.654246,70.710437,70.766628,10,117.466316,UNC18806849,9.622108062,FALSE,,,,,,,,
ENSMUSP00000079967,ENSMUSG00000062093,Gm10110,14,89.896223,89.897344,89.898466,1,166.809337,UNC2129402,9.616002182,FALSE,,,,,,,,
ENSMUSP00000093741,ENSMUSG00000071540,3425401B19Rik,14,32.659119,32.672196,32.685272,3,37.11971,JAX00519899,9.597842296,FALSE,,,,,,,,
ENSMUSP00000022682,ENSMUSG00000022091,Sorbs3,14,70.180468,70.194052,70.207637,8,86.098315,JAX00164365,9.574831228,FALSE,,,,,,,,
ENSMUSP00000125977,ENSMUSG00000025290,Rps24,14,24.490681,24.493414,24.496146,5,136.951294,UNC10261789,9.563602755,FALSE,,,,,,,,
ENSMUSP00000038763,ENSMUSG00000041650,Pcca,14,122.534324,122.712712,122.8911,14,120.489213,UNC24895594,9.553527331,TRUE,,,,,,,,
ENSMUSP00000131634,ENSMUSG00000075486,Commd6,14,101.633766,101.637226,101.640686,19,40.458744,UNC30311893,9.551786072,FALSE,,,,,,,,
ENSMUSP00000087494,ENSMUSG00000021798,Ldb3,14,34.526699,34.55769,34.588681,12,113.013655,UNC21917603,9.548086352,FALSE,,,,,,,,
ENSMUSP00000125697,ENSMUSG00000043004,Gng2,14,19.872559,19.925093,19.977627,15,95.066174,UNC26155728,9.54577671,FALSE,,,,,,,,
ENSMUSP00000022419,ENSMUSG00000021868,Ppif,14,25.694154,25.697311,25.700468,X,140.931647,UNC31393552,9.545228957,FALSE,,,,,,,,
ENSMUSP00000022345,ENSMUSG00000021811,Dnajc9,14,20.384638,20.386774,20.38891,3,47.392675,UNC5190876,9.535177936,FALSE,,,,,,,,
ENSMUSP00000022538,ENSMUSG00000021967,Mrp63,14,57.826239,57.827492,57.828745,1,192.141559,JAX00014077,9.530418002,FALSE,,,,,,,,
ENSMUSP00000002289,ENSMUSG00000022111,Uchl3,14,101.653967,101.675046,101.696124,4,152.533757,UNC8481077,9.524210338,FALSE,,,,,,,,
ENSMUSP00000038555,ENSMUSG00000040618,Pck2,14,55.540266,55.545142,55.550017,6,31.463496,JAX00606150,9.523131257,FALSE,,,,,,,,
ENSMUSP00000022518,ENSMUSG00000021951,N6amt2,14,57.549598,57.560584,57.571569,2,33.975046,UNC2853148,9.510487718,FALSE,,,,,,,,
ENSMUSP00000032898,ENSMUSG00000030662,Ipo5,14,120.911194,120.929618,120.948042,X,139.880666,UNC31385036,9.484902773,FALSE,,,,,,,,
ENSMUSP00000017629,ENSMUSG00000017485,Top2b,14,16.365179,16.397983,16.430787,X,10.789458,UNC30644141,9.475784482,FALSE,,,,,,,,
ENSMUSP00000077532,ENSMUSG00000022092,Ppp3cc,14,70.217898,70.253674,70.289449,10,71.404565,backupUNC100372523,9.47143356,FALSE,,,,,,,,
ENSMUSP00000022597,ENSMUSG00000022020,Naa16,14,79.334204,79.362491,79.390778,4,155.973255,UNC8535040,9.46257265,FALSE,,,,,,,,
ENSMUSP00000038716,ENSMUSG00000063895,Nupl1,14,60.219204,60.235356,60.251507,8,58.061406,UNC14810406,9.457048523,FALSE,,,,,,,,
ENSMUSP00000138134,ENSMUSG00000021917,Spcs1,14,30.999826,31.000749,31.001672,2,101.265709,UNC3636935,9.453015726,FALSE,,,,,,,,
ENSMUSP00000022345,ENSMUSG00000021811,Dnajc9,14,20.384638,20.386774,20.38891,8,39.957537,UNC14566377,9.44688496,FALSE,,,,,,,,
ENSMUSP00000022834,ENSMUSG00000022225,Cma1,14,55.941453,55.943057,55.944661,11,35.534525,UNC19404979,9.422372681,FALSE,,,,,,,,
ENSMUSP00000079967,ENSMUSG00000062093,Gm10110,14,89.896223,89.897344,89.898466,3,54.954997,UNC5303391,9.416471493,FALSE,,,,,,,,
ENSMUSP00000115615,ENSMUSG00000040752,Myh6,14,54.941921,54.954424,54.966927,12,102.993011,UNC21775378,9.410738743,FALSE,,,,,,,,
ENSMUSP00000107237,ENSMUSG00000060373,Hnrnpc,14,52.07338,52.088704,52.104028,3,143.149958,UNC6428326,9.391565844,FALSE,,,,,,,,
ENSMUSP00000061498,ENSMUSG00000040472,Rabggta,14,55.715873,55.719065,55.722257,5,56.656652,JAX00583256,9.377004688,FALSE,,,,,,,,
ENSMUSP00000121201,ENSMUSG00000021998,Lcp1,14,75.131101,75.180972,75.230842,11,103.192112,UNC20276724,9.375015627,FALSE,,,,,,,,
ENSMUSP00000022521,ENSMUSG00000021948,Prkcd,14,30.595356,30.610783,30.62621,17,79.335013,JAX00078576,9.364782289,FALSE,,,,,,,,
ENSMUSP00000042186,ENSMUSG00000032849,Abcc4,14,118.482692,118.594456,118.706219,9,103.059887,UNC17019015,9.352777163,FALSE,,,,,,,,
ENSMUSP00000129504,ENSMUSG00000022100,Xpo7,14,70.654246,70.710437,70.766628,7,128.079817,UNC13818423,9.348504555,FALSE,,,,,,,,
ENSMUSP00000124909,ENSMUSG00000033083,Tbc1d4,14,101.44236,101.525776,101.609191,1,162.932964,UNC010332330,9.344673194,FALSE,,,,,,,,
ENSMUSP00000032898,ENSMUSG00000030662,Ipo5,14,120.911194,120.929618,120.948042,17,35.070197,UNC27814922,9.342134819,FALSE,,,,,,,,
ENSMUSP00000107539,ENSMUSG00000041445,Mmrn2,14,34.375504,34.389896,34.404287,14,33.718808,UNC23824974,9.33729505,TRUE,,,,,,,,
ENSMUSP00000126449,ENSMUSG00000006529,Itih1,14,30.92918,30.936234,30.943289,14,29.75521,JAX00376264,9.333108964,TRUE,,,,,,,,
ENSMUSP00000022793,ENSMUSG00000022185,Acin1,14,54.642161,54.664546,54.686931,9,69.508402,JAX00697740,9.331771444,FALSE,,,,,,,,
ENSMUSP00000048925,ENSMUSG00000058997,Vwa8,14,78.849178,79.025744,79.20231,12,94.365944,UNC21651843,9.296480368,FALSE,,,,,,,,
ENSMUSP00000045955,ENSMUSG00000039367,Sec24c,14,20.674321,20.684586,20.69485,15,10.903633,UNC25029102,9.285471863,FALSE,,,,,,,,
ENSMUSP00000000985,ENSMUSG00000000959,Oxa1l,14,54.360841,54.365255,54.369669,5,80.164539,UNC9550582,9.281794785,FALSE,,,,,,,,
ENSMUSP00000022518,ENSMUSG00000021951,N6amt2,14,57.549598,57.560584,57.571569,18,79.952247,UNC29683952,9.280029029,FALSE,,,,,,,,
ENSMUSP00000123765,ENSMUSG00000022110,Sucla2,14,73.525319,73.56073,73.596142,8,103.937071,UNC15417472,9.277189043,FALSE,,,,,,,,
ENSMUSP00000004673,ENSMUSG00000004558,Ndrg2,14,51.905271,51.90938,51.913488,10,76.058807,UNC18254509,9.270666349,FALSE,,,,,,,,
ENSMUSP00000120918,ENSMUSG00000037712,Fermt2,14,45.458792,45.494455,45.530118,13,118.391968,UNC23485868,9.261783818,FALSE,,,,,,,,
ENSMUSP00000022317,ENSMUSG00000021792,Fam213a,14,40.99374,41.003764,41.013788,3,34.580495,UNC5016609,9.258460402,FALSE,,,,,,,,
ENSMUSP00000022310,ENSMUSG00000021785,Ngly1,14,16.24928,16.280603,16.311926,9,93.469616,UNC16887186,9.255414262,FALSE,,,,,,,,
ENSMUSP00000125155,ENSMUSG00000006289,Osgep,14,50.906478,50.915686,50.924893,X,96.298427,UNC31115957,9.235946967,FALSE,,,,,,,,
ENSMUSP00000006697,ENSMUSG00000006522,Itih3,14,30.908573,30.916166,30.92376,18,86.060443,JAX00468185,9.228768237,FALSE,,,,,,,,
ENSMUSP00000119275,ENSMUSG00000050335,Lgals3,14,47.367751,47.376956,47.38616,2,116.252998,UNC3805234,9.228201706,FALSE,,,,,,,,
ENSMUSP00000087773,ENSMUSG00000040640,Erc2,14,27.622442,28.05049,28.478537,7,40.292381,UNC12676233,9.221673169,FALSE,,,,,,,,
ENSMUSP00000022343,ENSMUSG00000021809,Nudt13,14,20.29469,20.306132,20.317575,18,65.191166,UNC29455610,9.217475453,FALSE,,,,,,,,
ENSMUSP00000123706,ENSMUSG00000033060,Lmo7,14,101.729957,101.832334,101.93471,1,183.577007,UNC010411561,9.212780109,FALSE,,,,,,,,
ENSMUSP00000022529,ENSMUSG00000021957,Tkt,14,30.548359,30.56154,30.574722,9,106.866485,UNC17080330,9.209543587,FALSE,,,,,,,,
ENSMUSP00000038716,ENSMUSG00000063895,Nupl1,14,60.219204,60.235356,60.251507,7,123.063612,UNC13764259,9.200976454,FALSE,,,,,,,,
ENSMUSP00000002403,ENSMUSG00000002332,Dhrs1,14,55.73902,55.742355,55.74569,9,50.603136,UNC16347237,9.181625342,FALSE,,,,,,,,
ENSMUSP00000130492,ENSMUSG00000010376,Nedd8,14,55.662265,55.667086,55.671906,11,10.46904,UNC19073349,9.176488396,FALSE,,,,,,,,
ENSMUSP00000113014,ENSMUSG00000022214,Dcaf11,14,55.560006,55.565036,55.570065,2,75.707571,UNC3353145,9.175838892,FALSE,,,,,,,,
ENSMUSP00000114922,ENSMUSG00000021884,Hacl1,14,31.552905,31.597096,31.641286,17,32.179456,JAX00075089,9.169895314,FALSE,,,,,,,,
ENSMUSP00000053176,ENSMUSG00000039376,Synpo2l,14,20.658946,20.66365,20.668354,7,128.285323,UNC13821278,9.163246751,FALSE,,,,,,,,
ENSMUSP00000022293,ENSMUSG00000021771,Vdac2,14,21.831269,21.838574,21.845879,3,56.899013,UNC5328102,9.137777757,FALSE,,,,,,,,
ENSMUSP00000025940,ENSMUSG00000071347,C1qtnf9,14,60.768134,60.774502,60.780869,7,129.801949,UNC13844829,9.134631479,FALSE,,,,,,,,
ENSMUSP00000043926,ENSMUSG00000021871,Pnp,14,50.944302,50.95477,50.965237,8,79.248381,UNC15069945,9.124287115,FALSE,,,,,,,,
ENSMUSP00000022734,ENSMUSG00000022136,Dnajc3,14,118.937932,118.959817,118.981702,1,31.663163,UNC010062500,9.117755408,FALSE,,,,,,,,
ENSMUSP00000123765,ENSMUSG00000022110,Sucla2,14,73.525319,73.56073,73.596142,14,71.6983,UNC24214892,9.117191636,TRUE,,,,,,,,
ENSMUSP00000138396,ENSMUSG00000097148,Gm3839,14,11.280735,11.31873,11.356726,3,110.868682,JAX00111744,9.115506898,FALSE,,,,,,,,
ENSMUSP00000022345,ENSMUSG00000021811,Dnajc9,14,20.384638,20.386774,20.38891,12,30.210545,UNC120717169,9.107360301,FALSE,,,,,,,,
ENSMUSP00000032898,ENSMUSG00000030662,Ipo5,14,120.911194,120.929618,120.948042,3,130.923908,UNC6249560,9.100313164,FALSE,,,,,,,,
ENSMUSP00000022639,ENSMUSG00000022055,Nefl,14,68.083863,68.086479,68.089095,8,91.369394,UNC15238168,9.096466386,FALSE,,,,,,,,
ENSMUSP00000022521,ENSMUSG00000021948,Prkcd,14,30.595356,30.610783,30.62621,14,33.819982,UNC23826890,9.088563865,TRUE,,,,,,,,
ENSMUSP00000014640,ENSMUSG00000014496,Ankrd28,14,31.700015,31.765215,31.830415,1,71.630166,UNC904980,9.086423206,FALSE,,,,,,,,
ENSMUSP00000119275,ENSMUSG00000050335,Lgals3,14,47.367751,47.376956,47.38616,17,88.714291,UNC28560701,9.084782875,FALSE,,,,,,,,
ENSMUSP00000114922,ENSMUSG00000021884,Hacl1,14,31.552905,31.597096,31.641286,14,70.540046,UNC24202289,9.078158207,FALSE,,,,,,,,
ENSMUSP00000129504,ENSMUSG00000022100,Xpo7,14,70.654246,70.710437,70.766628,4,152.979605,JAX00571387,9.07561035,FALSE,,,,,,,,
ENSMUSP00000039537,ENSMUSG00000033405,Nudt15,14,73.519864,73.534053,73.548242,1,190.854221,UNC2428632,9.073089856,FALSE,,,,,,,,
ENSMUSP00000022597,ENSMUSG00000022020,Naa16,14,79.334204,79.362491,79.390778,8,17.811801,UNC14262860,9.06252936,FALSE,,,,,,,,
ENSMUSP00000022317,ENSMUSG00000021792,Fam213a,14,40.99374,41.003764,41.013788,12,107.959231,UNC21849301,9.061808005,FALSE,,,,,,,,
ENSMUSP00000036555,ENSMUSG00000002319,Ipo4,14,55.6254,55.631648,55.637895,13,102.330985,UNC23240224,9.045484038,FALSE,,,,,,,,
ENSMUSP00000061498,ENSMUSG00000040472,Rabggta,14,55.715873,55.719065,55.722257,X,102.092497,UNC31154429,9.043127095,FALSE,,,,,,,,
ENSMUSP00000086640,ENSMUSG00000022052,Ppp2r2a,14,67.014057,67.043264,67.072471,2,106.753095,UNC3707607,9.042276065,FALSE,,,,,,,,
ENSMUSP00000022391,ENSMUSG00000021843,Ktn1,14,47.663756,47.70016,47.736563,10,79.792394,UNC18296337,9.033153851,FALSE,,,,,,,,
ENSMUSP00000022573,ENSMUSG00000021996,Esd,14,74.732297,74.741531,74.750765,8,102.760807,JAX00678806,9.033026426,FALSE,,,,,,,,
ENSMUSP00000022256,ENSMUSG00000021737,Psmd6,14,14.112184,14.116584,14.120984,3,130.645004,UNC6245320,9.028359195,FALSE,,,,,,,,
ENSMUSP00000046212,ENSMUSG00000041028,Ghitm,14,37.120444,37.127883,37.135322,12,84.071192,UNC21519140,9.026306296,FALSE,,,,,,,,
ENSMUSP00000124258,ENSMUSG00000054509,Parp4,14,56.575619,56.617706,56.659794,2,152.423729,UNC4242301,9.025499751,FALSE,,,,,,,,
ENSMUSP00000022821,ENSMUSG00000022210,Dhrs4,14,55.478758,55.484548,55.490338,14,56.741391,JAX00380826,8.986407717,TRUE,,,,,,,,
ENSMUSP00000100021,ENSMUSG00000021870,Slmap,14,26.413168,26.47405,26.534931,1,164.969326,UNC2107583,8.983473409,FALSE,,,,,,,,
ENSMUSP00000022322,ENSMUSG00000021794,Glud1,14,34.310727,34.327936,34.345144,11,34.025163,UNC19383137,8.983385114,FALSE,,,,,,,,
ENSMUSP00000042283,ENSMUSG00000035726,Supt16,14,52.160419,52.178829,52.197239,19,34.79344,UNC30236563,8.971069074,FALSE,,,,,,,,
ENSMUSP00000039537,ENSMUSG00000033405,Nudt15,14,73.519864,73.534053,73.548242,3,145.115805,UNC6454708,8.969614657,FALSE,,,,,,,,
ENSMUSP00000077893,ENSMUSG00000058571,Gpc6,14,116.925297,117.452413,117.979529,18,31.199251,JAX00081863,8.964218117,FALSE,,,,,,,,
ENSMUSP00000022429,ENSMUSG00000021877,Arf4,14,26.638074,26.651579,26.665084,9,50.162517,UNC16342181,8.96309389,FALSE,,,,,,,,
ENSMUSP00000022821,ENSMUSG00000022210,Dhrs4,14,55.478758,55.484548,55.490338,3,128.154375,UNC030222589,8.962501588,FALSE,,,,,,,,
ENSMUSP00000038716,ENSMUSG00000063895,Nupl1,14,60.219204,60.235356,60.251507,1,21.261747,UNC246230,8.96087188,FALSE,,,,,,,,
ENSMUSP00000043926,ENSMUSG00000021871,Pnp,14,50.944302,50.95477,50.965237,2,4.2804,UNC2481020,8.959087938,FALSE,,,,,,,,
