lodcolumn,gene_symbol,gene_chr,gene_start,gene_middle,gene_end,qtl_chr,qtl_pos,qtl_mkr,qtl_lod,cis,,,,,,,,
ENSMUSG00000072115,Ang,14,51.091077,51.096542,51.102007,14,49.284744,UNC23982070,39.3707962,TRUE,,,,,,,,
ENSMUSG00000021814,Anxa7,14,20.455261,20.467697,20.480133,14,20.530542,UNC23665516,39.23876942,TRUE,,,,,,,,
ENSMUSG00000033644,Piwil2,14,70.37248,70.400787,70.429094,14,70.527248,UNC24202144,39.07312584,TRUE,,,,,,,,
ENSMUSG00000033111,3830406C13Rik,14,12.284209,12.29372,12.303231,14,12.461539,JAX00050146,39.03403177,TRUE,,,,,,,,
ENSMUSG00000094460,Gm21560,14,6.210617,6.214954,6.219292,14,19.627672,UNC23654392,38.97700233,FALSE,,,,,,,,
ENSMUSG00000022125,Cln5,14,103.070216,103.073898,103.077579,14,103.138267,UNC24646261,38.93428209,TRUE,,,,,,,,
ENSMUSG00000022035,Ccdc25,14,65.837302,65.851953,65.866604,14,65.447219,UNC24134630,38.902205,TRUE,,,,,,,,
ENSMUSG00000096904,Gm3591,14,6.405827,6.409154,6.412482,14,19.739565,UNC23655264,38.74432231,FALSE,,,,,,,,
ENSMUSG00000094370,Gm3373,14,5.718336,5.729956,5.741577,14,19.739565,UNC23655264,38.63061523,FALSE,,,,,,,,
ENSMUSG00000090707,Gm8237,14,5.857918,5.86915,5.880382,14,19.723119,UNC23655107,38.55050041,FALSE,,,,,,,,
ENSMUSG00000079396,Gm3411,14,6.090977,6.189114,6.28725,14,19.828105,UNC23656406,37.97829411,FALSE,,,,,,,,
ENSMUSG00000021905,Dph3,14,32.080566,32.083129,32.085692,14,32.347623,UNC23804378,37.86900685,TRUE,,,,,,,,
ENSMUSG00000062093,Gm10110,14,89.896223,89.897344,89.898466,4,120.863027,UNC8101060,37.2105837,FALSE,,,,,,,,
ENSMUSG00000068417,Pnp2,14,50.955992,50.96037,50.964749,14,49.238308,UNC23981562,36.86114901,TRUE,,,,,,,,
ENSMUSG00000021772,Nkiras1,14,18.271136,18.277539,18.283942,14,17.913318,UNC23643611,36.84164289,TRUE,,,,,,,,
ENSMUSG00000021799,Opn4,14,34.590618,34.59538,34.600142,14,34.380791,backupUNC140854347,36.12229489,TRUE,,,,,,,,
ENSMUSG00000079402,Gm3020,14,3.65203,3.662622,3.673215,14,19.654149,UNC23654491,36.03042719,FALSE,,,,,,,,
ENSMUSG00000096488,Gm10409,14,3.412614,3.423207,3.4338,14,19.654149,UNC23654491,36.02798405,FALSE,,,,,,,,
ENSMUSG00000079364,Gm3558,14,7.545151,7.556858,7.568566,14,19.723119,UNC23655107,35.11337852,FALSE,,,,,,,,
ENSMUSG00000091044,Gm3170,14,5.738334,5.738756,5.739177,14,9.1723,backupUNC140686121,35.10512098,TRUE,,,,,,,,
ENSMUSG00000095124,Gm3348,14,5.385805,5.386228,5.386651,14,9.1723,backupUNC140686121,35.05104313,TRUE,,,,,,,,
ENSMUSG00000094628,Gm3252,14,4.726775,4.737134,4.747493,14,19.739565,UNC23655264,34.73470196,FALSE,,,,,,,,
ENSMUSG00000078126,Rpl23a-ps3,14,34.170655,34.170912,34.171168,11,78.480001,JAX00029353,34.28423968,FALSE,,,,,,,,
ENSMUSG00000021770,Samd8,14,21.750531,21.774628,21.798725,14,21.602745,UNC23677579,33.35851038,TRUE,,,,,,,,
ENSMUSG00000044350,Lacc1,14,77.0242,77.030552,77.036904,14,77.845416,JAX00384760,32.9660188,TRUE,,,,,,,,
ENSMUSG00000072494,Ppp1r3e,14,54.872669,54.87511,54.87755,14,55.004194,UNC24035355,32.81948732,TRUE,,,,,,,,
ENSMUSG00000013701,Timm23,14,32.180162,32.19103,32.201898,14,32.63672,UNC23807940,32.78901495,TRUE,,,,,,,,
ENSMUSG00000022048,Dpysl2,14,66.802864,66.835776,66.868688,14,66.730859,UNC24153148,32.69752425,TRUE,,,,,,,,
ENSMUSG00000021830,Txndc16,14,45.134448,45.177388,45.220328,14,45.147,UNC23936349,32.66439634,TRUE,,,,,,,,
ENSMUSG00000021996,Esd,14,74.732297,74.741531,74.750765,14,74.748093,UNC24257991,32.62508023,TRUE,,,,,,,,
ENSMUSG00000021874,4933413J09Rik,14,26.356574,26.378515,26.400456,14,26.399045,JAX00375581,32.21881325,TRUE,,,,,,,,
ENSMUSG00000021868,Ppif,14,25.694154,25.697311,25.700468,14,25.675738,UNC23726899,31.25590179,TRUE,,,,,,,,
ENSMUSG00000004561,Mettl17,14,51.884842,51.88894,51.893039,14,51.893713,UNC24007625,31.24817895,TRUE,,,,,,,,
ENSMUSG00000098975,RP23-103I12.3,14,69.582164,69.632725,69.683286,14,69.571358,UNC24191055,30.831288,TRUE,,,,,,,,
ENSMUSG00000022057,Adamdec1,14,68.563388,68.572737,68.582086,14,68.57332,UNC24180391,30.70224536,TRUE,,,,,,,,
ENSMUSG00000022019,Tdrd3,14,87.416639,87.481006,87.545373,14,87.262749,UNC24414916,30.6123787,TRUE,,,,,,,,
ENSMUSG00000035078,Mtmr9,14,63.523616,63.533784,63.543953,14,63.532453,UNC24113871,30.42024005,TRUE,,,,,,,,
ENSMUSG00000097601,Gm26660,14,25.355801,25.367218,25.378635,14,25.350706,UNC23724198,30.35119621,TRUE,,,,,,,,
ENSMUSG00000095463,Entpd4,14,69.337174,69.352222,69.36727,14,69.49243,UNC24189794,30.01792971,TRUE,,,,,,,,
ENSMUSG00000022219,Cideb,14,55.754045,55.756252,55.758458,14,55.940548,UNC24043963,29.59051747,TRUE,,,,,,,,
ENSMUSG00000094526,Gm21451,14,69.390854,69.43557,69.480287,14,69.940437,UNC24196362,29.50115796,TRUE,,,,,,,,
ENSMUSG00000022064,Pibf1,14,99.099433,99.176963,99.254493,14,99.102899,JAX00387746,29.4282661,TRUE,,,,,,,,
ENSMUSG00000021747,4930452B06Rik,14,8.431192,8.548716,8.66624,14,11.109899,JAX00050046,28.97614227,TRUE,,,,,,,,
ENSMUSG00000021930,Spryd7,14,61.531993,61.54444,61.556886,14,61.328686,UNC24086226,28.96084434,TRUE,,,,,,,,
ENSMUSG00000094929,Gm3526,14,5.253907,5.257244,5.26058,14,19.739565,UNC23655264,28.57148652,FALSE,,,,,,,,
ENSMUSG00000050505,Pcdh20,14,88.464747,88.468072,88.471396,14,88.219345,JAX00386308,28.5050397,TRUE,,,,,,,,
ENSMUSG00000090038,Gm16573,14,56.607261,56.613887,56.620513,14,56.534614,UNC24048608,28.22417356,TRUE,,,,,,,,
ENSMUSG00000021809,Nudt13,14,20.29469,20.306132,20.317575,14,20.26372,UNC23662352,28.16825321,TRUE,,,,,,,,
ENSMUSG00000021871,Pnp,14,50.944302,50.95477,50.965237,14,50.714838,UNC23994875,27.96118546,TRUE,,,,,,,,
ENSMUSG00000096039,D830030K20Rik,14,3.22444,3.229396,3.234351,14,19.755208,UNC23655457,27.87154349,FALSE,,,,,,,,
ENSMUSG00000035184,Fam124a,14,62.555737,62.582112,62.608486,14,62.927611,UNC24105632,27.49749276,TRUE,,,,,,,,
ENSMUSG00000098192,Gm3534,14,48.408618,48.409118,48.409618,6,124.947487,UNC12015611,27.48949236,FALSE,,,,,,,,
ENSMUSG00000034959,5031414D18Rik,14,75.016027,75.03428,75.052532,14,75.087496,UNC24263757,27.46067023,TRUE,,,,,,,,
ENSMUSG00000006522,Itih3,14,30.908573,30.916166,30.92376,14,29.95749,backupUNC140442244,27.3916666,TRUE,,,,,,,,
ENSMUSG00000022109,Med4,14,73.510049,73.514297,73.518545,14,73.564988,UNC24241974,27.38831316,TRUE,,,,,,,,
ENSMUSG00000022051,Bnip3l,14,66.985239,66.997058,67.008877,14,67.196787,JAX00054074,27.06940832,TRUE,,,,,,,,
ENSMUSG00000092167,Gm3696,14,7.083208,7.091914,7.100621,14,19.627672,UNC23654392,26.95180654,FALSE,,,,,,,,
ENSMUSG00000072572,Slc39a2,14,51.892889,51.894817,51.896745,14,53.134887,UNC24017068,26.8685891,TRUE,,,,,,,,
ENSMUSG00000054509,Parp4,14,56.575619,56.617706,56.659794,14,55.709792,UNC24042062,26.84655396,TRUE,,,,,,,,
ENSMUSG00000095015,Gm16434,14,7.185927,7.190234,7.19454,14,19.739565,UNC23655264,26.72335879,FALSE,,,,,,,,
ENSMUSG00000096869,Gm6676,14,7.116798,7.121105,7.125412,14,19.739565,UNC23655264,26.72335879,FALSE,,,,,,,,
ENSMUSG00000025280,Polr3a,14,24.448694,24.46787,24.487046,14,24.146127,UNC23708559,26.52462972,TRUE,,,,,,,,
ENSMUSG00000091472,Gm3739,14,7.293648,7.304348,7.315049,14,19.755208,UNC23655457,26.37921029,FALSE,,,,,,,,
ENSMUSG00000090785,Gm17116,14,64.1112,64.11292,64.114641,14,64.241604,UNC24121867,26.33859051,TRUE,,,,,,,,
ENSMUSG00000068758,Il3ra,14,14.346495,14.350992,14.35549,14,14.51881,JAX00050298,26.31837513,TRUE,,,,,,,,
ENSMUSG00000021810,Ecd,14,20.319859,20.33399,20.348121,14,20.326463,UNC23663369,25.90266029,TRUE,,,,,,,,
ENSMUSG00000091563,Gm8108,14,4.110526,4.121655,4.132784,14,19.739565,UNC23655264,25.85467829,FALSE,,,,,,,,
ENSMUSG00000096775,Gm5796,14,4.023941,4.032656,4.04137,14,19.627672,UNC23654392,25.84513362,FALSE,,,,,,,,
ENSMUSG00000021898,Asb14,14,26.894557,26.904908,26.915258,14,27.359918,UNC23742653,25.58683559,TRUE,,,,,,,,
ENSMUSG00000078127,Fam170b,14,32.833962,32.835376,32.836789,14,32.347623,UNC23804378,25.53254485,TRUE,,,,,,,,
ENSMUSG00000090872,Gm3239,14,4.664192,4.667521,4.67085,14,19.755208,UNC23655457,25.45080183,FALSE,,,,,,,,
ENSMUSG00000021972,Hmbox1,14,64.811601,64.880736,64.94987,14,64.261886,UNC140222045,25.38512071,TRUE,,,,,,,,
ENSMUSG00000090363,Gm3512,14,7.153511,7.164022,7.174533,14,19.764134,UNC23655538,25.25401179,FALSE,,,,,,,,
ENSMUSG00000094634,Gm3468,14,6.020654,6.06466,6.108665,14,19.723119,UNC23655107,25.23597992,FALSE,,,,,,,,
ENSMUSG00000033083,Tbc1d4,14,101.44236,101.525776,101.609191,14,101.841627,UNC24631298,25.18871251,TRUE,,,,,,,,
ENSMUSG00000036339,Tmem260,14,48.446128,48.480632,48.515135,14,48.459942,UNC23974300,24.94255634,TRUE,,,,,,,,
ENSMUSG00000095360,Gm3594,14,6.435796,6.440204,6.444611,14,19.739565,UNC23655264,24.80105347,FALSE,,,,,,,,
ENSMUSG00000037697,Ddhd1,14,45.593174,45.625658,45.658143,14,45.357237,UNC23938279,24.73583984,TRUE,,,,,,,,
ENSMUSG00000021867,Tmem254b,14,26.203369,26.205205,26.207041,14,25.87502,UNC23729541,24.64987456,TRUE,,,,,,,,
ENSMUSG00000072676,Tmem254a,14,25.924,25.925836,25.927672,14,25.87502,UNC23729541,24.64987456,TRUE,,,,,,,,
ENSMUSG00000079360,Gm3839,14,11.280932,11.281432,11.281933,6,125.510863,UNC12022030,24.56345934,FALSE,,,,,,,,
ENSMUSG00000096023,Gm3542,14,5.326255,5.330592,5.334928,14,19.780386,UNC23655738,24.35253519,FALSE,,,,,,,,
ENSMUSG00000096470,Gm9603,14,5.678784,5.68312,5.687457,14,19.780386,UNC23655738,24.35253519,FALSE,,,,,,,,
ENSMUSG00000091400,Gm6356,14,6.965449,6.969634,6.973818,14,19.703543,UNC23654829,24.22575474,FALSE,,,,,,,,
ENSMUSG00000021768,Dusp13,14,21.733394,21.742288,21.751181,14,21.852899,UNC23680753,24.20472327,TRUE,,,,,,,,
ENSMUSG00000098428,RP24-222L21.1,14,26.016422,26.021498,26.026574,14,26.725712,UNC23734821,24.12766023,TRUE,,,,,,,,
ENSMUSG00000021922,Itih4,14,30.886476,30.894228,30.901981,14,31.279377,UNC23790683,23.81543484,TRUE,,,,,,,,
ENSMUSG00000021958,Pinx1,14,63.860312,63.890086,63.919859,14,63.491861,UNC24113360,23.70690912,TRUE,,,,,,,,
ENSMUSG00000097278,Gm26650,14,4.867977,4.899196,4.930414,14,7.705302,JAX00049793,23.59086899,TRUE,,,,,,,,
ENSMUSG00000097218,Gm26552,14,5.161446,5.191579,5.221712,14,19.654149,UNC23654491,23.56315818,FALSE,,,,,,,,
ENSMUSG00000097450,Gm26893,14,5.514087,5.544214,5.574342,14,19.654149,UNC23654491,23.56315818,FALSE,,,,,,,,
ENSMUSG00000091275,Gm3248,14,5.939225,5.950485,5.961745,14,19.646904,UNC23654446,23.11253439,FALSE,,,,,,,,
ENSMUSG00000047222,Ear11,14,51.255266,51.255689,51.256112,14,48.922408,UNC23979048,22.79566534,TRUE,,,,,,,,
ENSMUSG00000021911,Parg,14,32.201949,32.24975,32.29755,14,31.764568,UNC23796613,22.77982683,TRUE,,,,,,,,
ENSMUSG00000022094,Slc39a14,14,70.303469,70.327447,70.351425,14,69.196072,UNC24188719,22.60316637,TRUE,,,,,,,,
ENSMUSG00000097948,Gm21430,14,63.428733,63.429232,63.42973,14,63.994731,UNC24118673,22.40261851,TRUE,,,,,,,,
ENSMUSG00000091818,Rpl19-ps4,14,13.777814,13.778127,13.77844,11,98.570661,UNC20218289,22.34638492,FALSE,,,,,,,,
ENSMUSG00000039357,Fut11,14,20.694968,20.697582,20.700197,14,20.912795,UNC23668865,22.29269951,TRUE,,,,,,,,
ENSMUSG00000090627,Gm8356,14,6.528612,6.532951,6.53729,14,19.739565,UNC23655264,22.18926325,FALSE,,,,,,,,
ENSMUSG00000090487,Gm2888,14,3.030002,3.034382,3.038762,14,19.828105,UNC23656406,22.17871409,FALSE,,,,,,,,
ENSMUSG00000097199,Gm26991,14,6.154002,6.163002,6.172001,14,19.739565,UNC23655264,22.14759883,FALSE,,,,,,,,
ENSMUSG00000021815,Mss51,14,20.482864,20.489882,20.496901,14,20.680822,UNC23666580,22.1086919,TRUE,,,,,,,,
ENSMUSG00000035566,Pcdh17,14,84.443563,84.490312,84.53706,14,86.241692,JAX00385966,22.06581398,TRUE,,,,,,,,
ENSMUSG00000041445,Mmrn2,14,34.375504,34.389896,34.404287,14,33.990775,UNC23829922,21.98116574,TRUE,,,,,,,,
ENSMUSG00000006281,Tep1,14,50.824062,50.847311,50.87056,14,50.316216,UNC23990985,21.93136059,TRUE,,,,,,,,
ENSMUSG00000098609,RP24-530J21.3,14,25.856777,25.863522,25.870266,14,25.87502,UNC23729541,21.90716114,TRUE,,,,,,,,
ENSMUSG00000021948,Prkcd,14,30.595356,30.610783,30.62621,14,29.237311,UNC23766366,21.78655797,TRUE,,,,,,,,
ENSMUSG00000041594,Tmtc4,14,122.918971,122.951503,122.984035,14,122.962725,UNC24930227,21.69157627,TRUE,,,,,,,,
ENSMUSG00000053453,Thoc7,14,13.949014,13.95512,13.961225,14,13.495564,JAX00373329,21.64166034,TRUE,,,,,,,,
ENSMUSG00000072625,Gdf2,14,33.941039,33.944118,33.947198,14,34.380791,backupUNC140854347,21.62256708,TRUE,,,,,,,,
ENSMUSG00000022037,Clu,14,65.968483,65.975016,65.981548,14,65.344047,UNC140223024,21.53687885,TRUE,,,,,,,,
ENSMUSG00000097652,D830015G02Rik,14,54.968787,54.971568,54.974349,14,55.283539,UNC24038528,21.44935099,TRUE,,,,,,,,
ENSMUSG00000091849,Gm17188,14,3.186101,3.224209,3.262317,14,19.739565,UNC23655264,21.36618089,FALSE,,,,,,,,
ENSMUSG00000054733,Msra,14,64.122623,64.289263,64.455903,14,64.454041,UNC24123981,21.36041865,TRUE,,,,,,,,
ENSMUSG00000025545,Clybl,14,122.181694,122.291963,122.402232,14,121.991056,backupUNC140589529,21.34042096,TRUE,,,,,,,,
ENSMUSG00000057886,Gm6984,14,73.953922,73.954754,73.955586,6,51.883332,JAX00609992,21.02549496,FALSE,,,,,,,,
ENSMUSG00000021932,Rnaseh2b,14,62.292589,62.33279,62.372992,14,61.006509,UNC24082107,20.86509755,TRUE,,,,,,,,
ENSMUSG00000079386,Gm3173,14,4.430992,4.475222,4.519452,14,19.627672,UNC23654392,20.69916833,FALSE,,,,,,,,
ENSMUSG00000091756,Gm3095,14,3.963547,3.966877,3.970207,14,19.739565,UNC23655264,20.65871628,FALSE,,,,,,,,
ENSMUSG00000055538,Zcchc24,14,25.711642,25.74034,25.769039,14,25.15656,JAX00051088,20.61974519,TRUE,,,,,,,,
ENSMUSG00000090764,Gm3127,14,4.16503,4.169266,4.173503,14,20.070731,backupJAX00050708,20.59737215,FALSE,,,,,,,,
ENSMUSG00000036242,3632451O06Rik,14,49.68156,49.732472,49.783383,14,49.238308,UNC23981562,20.55573964,TRUE,,,,,,,,
ENSMUSG00000093760,Gm20678,14,18.587517,18.588972,18.590427,4,132.080767,UNC8241261,20.54461335,FALSE,,,,,,,,
ENSMUSG00000071613,Gm10340,14,3.133997,3.137803,3.141609,14,20.966345,UNC23669266,20.50812773,FALSE,,,,,,,,
ENSMUSG00000097901,Gm26680,14,6.684255,6.734098,6.783942,14,10.219273,JAX00372675,20.45372542,TRUE,,,,,,,,
ENSMUSG00000091494,Gm3269,14,4.838106,4.842486,4.846867,14,19.627672,UNC23654392,20.38642894,FALSE,,,,,,,,
ENSMUSG00000072674,Plac9b,14,26.167405,26.174942,26.18248,14,26.725712,UNC23734821,20.28719521,TRUE,,,,,,,,
ENSMUSG00000090104,Gm16241,14,26.389199,26.39236,26.395521,14,26.885161,UNC23736481,20.20031822,TRUE,,,,,,,,
ENSMUSG00000021987,Mtmr6,14,60.265205,60.283788,60.30237,14,59.770024,JAX00381203,20.13933721,TRUE,,,,,,,,
ENSMUSG00000062611,Rps3a2,14,88.122971,88.123402,88.123833,3,85.407649,UNC5694185,20.03926415,FALSE,,,,,,,,
ENSMUSG00000071350,Setdb2,14,59.402009,59.421446,59.440884,14,58.675779,UNC24065710,20.02079701,TRUE,,,,,,,,
ENSMUSG00000048502,Duxbl1,14,25.978577,25.984332,25.990088,14,24.837621,UNC140104069,19.86996865,TRUE,,,,,,,,
ENSMUSG00000045107,Saysd1,14,20.075646,20.079409,20.083172,14,20.402883,UNC23664062,19.80565885,TRUE,,,,,,,,
ENSMUSG00000035121,Neil2,14,63.182443,63.187992,63.193541,14,63.994731,UNC24118673,19.80336328,TRUE,,,,,,,,
ENSMUSG00000021902,Phf7,14,31.237696,31.244457,31.251218,14,31.220903,UNC23790191,19.75392276,TRUE,,,,,,,,
ENSMUSG00000022003,Slc25a30,14,75.761999,75.774518,75.787037,14,73.811685,UNC24245063,19.75217468,TRUE,,,,,,,,
ENSMUSG00000060012,Kif13b,14,64.652531,64.729414,64.806296,14,64.261886,UNC140222045,19.45746484,TRUE,,,,,,,,
ENSMUSG00000095912,Gm3317,14,5.164535,5.166884,5.169233,14,8.369776,JAX00372254,19.41638507,TRUE,,,,,,,,
ENSMUSG00000091022,Gm3115,14,4.08412,4.091713,4.099306,14,19.755208,UNC23655457,19.40853771,FALSE,,,,,,,,
ENSMUSG00000063458,1700112E06Rik,14,22.019712,22.537898,23.056085,14,22.039472,JAX00374766,19.19302788,TRUE,,,,,,,,
ENSMUSG00000079389,Gm3149,14,4.317283,4.321502,4.325721,14,19.739565,UNC23655264,19.15674596,FALSE,,,,,,,,
ENSMUSG00000048107,Kctd12,14,102.97822,102.980374,102.982528,14,102.918991,UNC24643714,19.14583561,TRUE,,,,,,,,
ENSMUSG00000097142,Gm26778,14,102.97822,102.980374,102.982528,14,102.918991,UNC24643714,19.14152658,TRUE,,,,,,,,
ENSMUSG00000091089,A930018M24Rik,14,50.895942,50.896699,50.897456,14,49.284744,UNC23982070,19.13467512,TRUE,,,,,,,,
ENSMUSG00000071547,Nt5dc2,14,31.134853,31.136987,31.139121,14,31.192488,UNC23789935,19.07692107,TRUE,,,,,,,,
ENSMUSG00000097148,Gm3839,14,11.280735,11.31873,11.356726,6,125.217914,UNC12018638,19.07109787,FALSE,,,,,,,,
ENSMUSG00000095304,Plac9a,14,25.887932,25.895516,25.9031,14,25.785749,JAX00375540,19.02981614,TRUE,,,,,,,,
ENSMUSG00000034997,Htr2a,14,74.64084,74.67385,74.706859,14,74.303748,UNC140267372,18.90768573,TRUE,,,,,,,,
ENSMUSG00000085133,B930095G15Rik,14,121.248706,121.250102,121.251497,14,121.556047,UNC24913816,18.87641041,TRUE,,,,,,,,
ENSMUSG00000079410,Gm2897,14,3.049285,3.063062,3.07684,14,19.764134,UNC23655538,18.76591261,FALSE,,,,,,,,
ENSMUSG00000025279,Dnase1l3,14,7.964533,7.979553,7.994573,14,19.627672,UNC23654392,18.70447437,FALSE,,,,,,,,
ENSMUSG00000045799,Gm9800,14,8.799589,8.800046,8.800504,1,86.623184,JAX00258010,18.64213835,FALSE,,,,,,,,
ENSMUSG00000021981,Cab39l,14,59.440981,59.494942,59.548903,14,58.83734,JAX00381080,18.57252233,TRUE,,,,,,,,
ENSMUSG00000093898,Gm3629,14,6.583959,6.729108,6.874257,14,19.739565,UNC23655264,18.50070815,FALSE,,,,,,,,
ENSMUSG00000035726,Supt16,14,52.160419,52.178829,52.197239,14,49.284744,UNC23982070,18.47980808,TRUE,,,,,,,,
ENSMUSG00000022177,Haus4,14,54.541785,54.548073,54.554361,14,51.893713,UNC24007625,18.40770631,TRUE,,,,,,,,
ENSMUSG00000034327,Kctd9,14,67.715937,67.729124,67.74231,14,67.917436,UNC24170250,18.35142775,TRUE,,,,,,,,
ENSMUSG00000091754,Gm3636,14,6.735685,6.80542,6.875155,14,19.755208,UNC23655457,18.32255506,FALSE,,,,,,,,
ENSMUSG00000021751,Acox2,14,8.225511,8.242432,8.259353,14,19.739565,UNC23655264,18.23429386,FALSE,,,,,,,,
ENSMUSG00000091144,Phf11c,14,59.380833,59.388107,59.395381,14,58.635371,UNC24065561,18.23269082,TRUE,,,,,,,,
ENSMUSG00000040618,Pck2,14,55.540266,55.545142,55.550017,14,55.649091,UNC24041606,18.15210285,TRUE,,,,,,,,
ENSMUSG00000089901,Gm8113,14,43.92539,43.9294,43.933411,16,89.885646,UNC27367326,18.10211961,FALSE,,,,,,,,
ENSMUSG00000095681,Gm8281,14,5.07104,5.082179,5.093318,14,19.739565,UNC23655264,18.04508801,FALSE,,,,,,,,
ENSMUSG00000047977,Synb,14,69.289344,69.291822,69.294299,16,20.284689,backupUNC160198484,18.01796199,FALSE,,,,,,,,
ENSMUSG00000096001,2610528A11Rik,14,37.10214,37.10612,37.110101,14,41.007201,UNC23928049,17.98102017,TRUE,,,,,,,,
ENSMUSG00000022091,Sorbs3,14,70.180468,70.194052,70.207637,14,70.135232,UNC24197985,17.97413535,TRUE,,,,,,,,
ENSMUSG00000090634,Gm8126,14,43.258649,43.262724,43.266799,14,39.121227,UNC23902619,17.88095573,FALSE,,,,,,,,
ENSMUSG00000098270,RP24-67I21.5,14,69.348897,69.350578,69.352259,14,69.550992,UNC24190679,17.73142457,TRUE,,,,,,,,
ENSMUSG00000099027,RP24-175I14.7,14,69.567147,69.568828,69.570509,14,69.550992,UNC24190679,17.73142457,TRUE,,,,,,,,
ENSMUSG00000034532,Fbxo16,14,65.266701,65.294101,65.321501,14,62.876644,UNC24104852,17.730547,TRUE,,,,,,,,
ENSMUSG00000063821,Dupd1,14,21.676582,21.695579,21.714576,14,21.518738,UNC23676668,17.68855263,TRUE,,,,,,,,
ENSMUSG00000022025,Lect1,14,79.63769,79.64993,79.66217,14,79.622465,UNC24322186,17.62768081,TRUE,,,,,,,,
ENSMUSG00000034235,Usp54,14,20.548912,20.583633,20.618354,14,20.193479,UNC23661490,17.61053719,TRUE,,,,,,,,
